Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,3.95
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,74.3
Japan,JPN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2007,70.0389
Japan,JPN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2007,78.8066
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,6.769999981
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,8.06537517355504
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,75.09
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2007,71.5031
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2007,78.8205
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,75.0
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,33.83
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,76.69999695
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,22.6
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,78.0
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2008,74.1765
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2008,81.6617
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,4.38
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,75.4
Japan,JPN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2008,70.0389
Japan,JPN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2008,81.07
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,8.0
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,8.43
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,78.39
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2008,75.473
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2008,81.4279
